date,time,sensor,status
2023/10/13,15:41:06,100,0.5
2023/10/13,15:40:49,1,0.5
2023/10/13,15:40:39,103,0.5
2023/10/13,15:40:33,2,0.5
2023/10/13,15:40:30,1,1.0
2023/10/13,15:40:28,22,0.5
2023/10/13,15:40:27,100,1.0
2023/10/13,15:40:27,2,1.0
2023/10/13,15:40:26,21,0.5
2023/10/13,15:40:25,23,0.5
2023/10/13,15:40:25,24,0.5
2023/10/13,15:40:23,21,1.0
2023/10/13,15:40:22,23,1.0
2023/10/13,15:40:22,22,1.0
2023/10/13,15:40:22,24,1.0
2023/10/13,15:40:18,24,0.5
2023/10/13,15:40:16,22,0.5
2023/10/13,15:40:13,24,1.0
2023/10/13,15:40:10,22,1.0
2023/10/13,15:39:55,104,0.5
2023/10/13,15:39:47,41,0.5
2023/10/13,15:39:43,62,0.5
2023/10/13,15:39:41,103,1.0
2023/10/13,15:39:41,63,0.5
2023/10/13,15:39:41,41,1.0
2023/10/13,15:39:41,64,0.5
2023/10/13,15:39:38,62,1.0
2023/10/13,15:39:36,63,1.0
2023/10/13,15:39:36,64,1.0
2023/10/13,15:39:29,64,0.5
2023/10/13,15:39:26,63,0.5
2023/10/13,15:39:26,106,0.5
2023/10/13,15:39:26,62,0.5
2023/10/13,15:39:25,64,1.0
2023/10/13,15:39:23,63,1.0
2023/10/13,15:39:23,64,0.5
2023/10/13,15:39:20,63,0.5
2023/10/13,15:39:15,65,0.5
2023/10/13,15:39:15,64,1.0
2023/10/13,15:39:14,104,1.0
2023/10/13,15:39:14,63,1.0
2023/10/13,15:39:03,104,0.5
2023/10/13,15:38:54,63,0.5
2023/10/13,15:38:54,65,1.0
2023/10/13,15:38:51,64,0.5
2023/10/13,15:38:51,106,1.0
2023/10/13,15:38:48,63,1.0
2023/10/13,15:38:47,64,1.0
2023/10/13,15:38:45,64,0.5
2023/10/13,15:38:41,66,0.5
2023/10/13,15:38:39,63,0.5
2023/10/13,15:38:38,66,1.0
2023/10/13,15:38:37,105,0.5
2023/10/13,15:38:36,66,0.5
2023/10/13,15:38:36,63,1.0
2023/10/13,15:38:36,64,1.0
2023/10/13,15:38:34,64,0.5
2023/10/13,15:38:34,63,0.5
2023/10/13,15:38:33,66,1.0
2023/10/13,15:38:31,62,1.0
2023/10/13,15:38:30,81,0.5
2023/10/13,15:38:28,64,1.0
2023/10/13,15:38:27,104,1.0
2023/10/13,15:38:24,63,1.0
2023/10/13,15:38:22,63,0.5
2023/10/13,15:38:14,104,0.5
2023/10/13,15:38:09,63,1.0
2023/10/13,15:38:07,63,0.5
2023/10/13,15:38:04,81,1.0
